driverId,avg_pitstop_time,position
4,20417.333333333332,1
8,20658.666666666668,2
1,20187.666666666668,3
20,19866.0,4
18,19880.0,5
13,20076.333333333332,6
817,21870.333333333332,7
814,20249.666666666668,8
154,20159.333333333332,9
807,21040.666666666668,10
815,20111.0,11
818,20642.666666666668,12
822,21773.666666666668,13
813,21097.666666666668,14
824,22185.333333333332,15
819,21580.666666666668,16
820,23768.333333333332,17
823,20905.0,18
3,21640.0,\N
17,24121.5,\N
16,nan,\N
821,nan,\N
