raceId,driverId,position,relative_diff,driver_avg,race_avg
841,20,1,-0.0420379450205262,23319.5,24342.82222222222
841,1,2,-0.04641295129661763,23213.0,24342.82222222222
841,808,3,0.031474484379150826,25109.0,24342.82222222222
841,4,4,-0.01182369979925632,24055.0,24342.82222222222
841,17,5,-0.011673073605087238,24058.666666666668,24342.82222222222
841,18,6,-0.1393630063892893,20950.333333333332,24342.82222222222
841,13,7,-0.008099124816167484,24145.666666666668,24342.82222222222
841,67,8,-0.005004441190512881,24221.0,24342.82222222222
841,16,9,0.023895248154372724,24924.5,24342.82222222222
841,814,10,0.010462130292570886,24597.5,24342.82222222222
841,153,11,0.06409190206193571,25903.0,24342.82222222222
841,2,12,-0.012193418639489398,24046.0,24342.82222222222
841,15,13,0.02180017472638528,24873.5,24342.82222222222
841,816,14,0.06201736856951677,25852.5,24342.82222222222
841,10,\N,-0.0226277059082896,23792.0,24342.82222222222
841,22,\N,0.07526562701120207,26175.0,24342.82222222222
841,3,\N,-0.02574977611470226,23716.0,24342.82222222222
841,5,\N,0.021450995821720706,24865.0,24342.82222222222
841,30,\N,0.006641702276829079,24504.5,24342.82222222222
841,813,\N,nan,nan,24342.82222222222
841,155,\N,-0.008824869206254688,24128.0,24342.82222222222
841,815,\N,-0.037169980290790675,23438.0,24342.82222222222
841,24,\N,nan,nan,24342.82222222222
841,39,\N,nan,nan,24342.82222222222
842,20,1,-0.08291759963966668,22408.333333333332,24434.372881355932
842,18,2,-0.08115778365385064,22451.333333333332,24434.372881355932
842,2,3,-0.048839922643011915,23241.0,24434.372881355932
842,17,4,-0.09151546029905078,22198.25,24434.372881355932
842,13,5,0.018483270302741082,24886.0,24434.372881355932
842,4,6,0.0030951119151403955,24510.0,24434.372881355932
842,155,7,-0.04392880826399042,23361.0,24434.372881355932
842,1,8,-0.04835904269339939,23252.75,24434.372881355932
842,30,9,-0.08511395912584008,22354.666666666668,24434.372881355932
842,814,10,-0.0563975819929506,23056.333333333332,24434.372881355932
842,16,11,0.04074698882097186,25430.0,24434.372881355932
842,3,12,-0.044106154061010594,23356.666666666668,24434.372881355932
842,67,13,0.0990255461186936,26854.0,24434.372881355932
842,153,14,-0.04904455240880448,23236.0,24434.372881355932
842,5,15,0.07266923228461158,26210.0,24434.372881355932
842,10,16,0.0036271493062010576,24523.0,24434.372881355932
842,808,17,0.017091787895351658,24852.0,24434.372881355932
842,24,\N,0.2713238089160311,31064.0,24434.372881355932
842,816,\N,0.036818097317754664,25334.0,24434.372881355932
842,15,\N,0.04426662079260393,25516.0,24434.372881355932
842,815,\N,-0.03427028331858148,23597.0,24434.372881355932
842,22,\N,0.1762118937756481,28740.0,24434.372881355932
842,39,\N,nan,nan,24434.372881355932
842,813,\N,nan,nan,24434.372881355932
843,1,1,-0.07354097917871545,20659.333333333332,22299.241379310344
843,20,2,-0.02400267211811749,21764.0,22299.241379310344
843,17,3,-0.018426996640265095,21888.333333333332,22299.241379310344
843,18,4,-0.01679764375263518,21924.666666666668,22299.241379310344
843,3,5,-0.05084962428493524,21165.333333333332,22299.241379310344
843,13,6,-0.040505475677230375,21396.0,22299.241379310344
843,4,7,-0.018464367119339117,21887.5,22299.241379310344
843,30,8,-0.04501982954937906,21295.333333333332,22299.241379310344
843,808,9,-0.013733264468560833,21993.0,22299.241379310344
843,155,10,-0.01810561052022797,21895.5,22299.241379310344
843,814,11,-0.03120022638778493,21603.5,22299.241379310344
843,2,12,-0.012589727808894044,22018.5,22299.241379310344
843,22,13,-0.03158140527434052,21595.0,22299.241379310344
843,67,14,0.02634283729048056,22886.666666666668,22299.241379310344
843,16,15,0.05765929875455794,23585.0,22299.241379310344
843,5,16,-0.005010994652671008,22187.5,22299.241379310344
843,815,17,-0.017735642777394596,21903.75,22299.241379310344
843,813,18,0.08885617468559838,24280.666666666668,22299.241379310344
843,15,19,0.015482976071553413,22644.5,22299.241379310344
843,816,20,0.02476580307355441,22851.5,22299.241379310344
843,10,21,0.17220729121242204,26139.333333333332,22299.241379310344
843,24,22,-0.07132864681752993,20708.666666666668,22299.241379310344
843,39,23,0.16815633128079202,26049.0,22299.241379310344
843,153,\N,0.005370524434107884,22419.0,22299.241379310344
844,20,1,-0.11314079881680325,20402.25,23005.060975609755
844,17,2,-0.08279964906979635,21100.25,23005.060975609755
844,4,3,-0.0641081098273709,21530.25,23005.060975609755
844,1,4,0.08277261366136303,24909.25,23005.060975609755
844,3,5,-0.07893093513357341,21189.25,23005.060975609755
844,18,6,-0.052034679537641446,21808.0,23005.060975609755
844,2,7,-0.05482754325002711,21743.75,23005.060975609755
844,808,8,-0.06276058025407977,21561.25,23005.060975609755
844,67,9,-0.04471744905901758,21976.333333333332,23005.060975609755
844,155,10,-0.018607252380838726,22577.0,23005.060975609755
844,13,11,0.016080766957429896,23375.0,23005.060975609755
844,30,12,0.00048637229877843233,23016.25,23005.060975609755
844,16,13,-0.07644959707522823,21246.333333333332,23005.060975609755
844,815,14,0.04591115952746353,24061.25,23005.060975609755
844,22,15,-0.025257962855469177,22424.0,23005.060975609755
844,153,16,-0.038733258588380545,22114.0,23005.060975609755
844,813,17,-0.10684870508345189,20547.0,23005.060975609755
844,15,18,-0.012579593214289071,22715.666666666668,23005.060975609755
844,5,19,-0.020490895870385425,22533.666666666668,23005.060975609755
844,816,20,0.034902712287593195,23808.0,23005.060975609755
844,39,21,0.11263923014465713,25596.333333333332,23005.060975609755
844,24,22,0.6297826830257394,37493.25,23005.060975609755
844,814,\N,-0.08721172170492701,20998.75,23005.060975609755
